2025/04/27 14:34:08 BLOCKED: GET /'Select - SQL_INJECTION
2025/04/27 18:23:22 BLOCKED: GET /'SELECT - test_rule
2025/04/27 18:23:35 BLOCKED: GET /'SELECT - test_rule
2025/05/05 20:42:30 BLOCKED: GET / - test_rule
2025/05/05 20:42:30 http: proxy error: context canceled
2025/05/05 20:42:34 BLOCKED: GET / - test_rule
2025/05/05 20:42:35 BLOCKED: GET / - test_rule
2025/05/05 20:42:35 BLOCKED: GET / - test_rule
2025/05/05 20:42:35 BLOCKED: GET / - test_rule
2025/05/05 20:42:36 BLOCKED: GET / - test_rule
2025/05/05 20:42:37 BLOCKED: GET / - test_rule
2025/05/05 20:42:37 BLOCKED: GET / - test_rule
2025/05/05 20:42:38 BLOCKED: GET / - test_rule
2025/05/05 20:44:10 BLOCKED: POST /post_example - test_rule
2025/05/05 20:46:03 BLOCKED: POST /post_example - test_rule
2025/05/10 10:38:02 BLOCKED: GET /333 - 11
2025/05/10 10:38:37 BLOCKED: GET /333 - 11
2025/05/10 10:44:44 BLOCKED: GET /get_example?param1=333 - 11
2025/05/10 10:45:30 BLOCKED: GET /get_example?param1=333 - 11
2025/05/10 10:50:59 BLOCKED: GET /get_example?param1=333 - 11
2025/05/10 10:51:00 BLOCKED: GET /get_example?param1=333 - 11
2025/05/10 10:51:24 BLOCKED: POST /post_example - 11
2025/05/10 10:51:27 BLOCKED: POST /post_example - 11
2025/05/10 10:51:36 BLOCKED: POST /post_example - 11
2025/05/10 10:56:12 BLOCKED: GET /333 - 11
